Datasize,Threads,Time
1000000,1,0.01199985
1000000,2,0.00599980
1000000,3,0.00600004
1000000,4,0.00699997
1000000,5,0.00600004
1000000,6,0.00500011
1000000,7,0.00399995
1000000,8,0.00500011
10000000,1,0.15900016
10000000,2,0.07299995
10000000,3,0.03400016
10000000,4,0.03499985
10000000,5,0.03500009
10000000,6,0.03799987
10000000,7,0.03099990
10000000,8,0.03299999
100000000,1,0.55700016
100000000,2,0.45299983
100000000,3,0.38000011
100000000,4,0.30800009
100000000,5,0.30699992
100000000,6,0.29700017
100000000,7,0.29299998
100000000,8,0.29200006
